designation,location,job_count
QA - Software Engineer,Bangalore,1
Data Scientist,Work From Home,2
Software Engineer II,Work From Home,1
UI / UX Designer,Gurgaon,1
Content Associate,Bangalore,1
Software Developer,Bangalore,1
Dot .NET Developer,Bangalore,1
Data Analyst - III,Bangalore,1
Technical Lead Frontend,Bangalore,1
Senior Software Engineer - Frontend,Bangalore,1
Datascience Lead,Pune,1
AUTOSAR Software Developer,Bangalore,1
Sales Business Development,Bangalore,1
Cloud Ops Engineer,Chennai,1
Data Architect,Bangalore,1
Product Manager,Bangalore,2
Linux Administrator - QA Automation Engineer,Work From Home,1
Software Testing - Drilling Applications,Bangalore,1
MES Developer,Chennai,1
Costing Engineer - Mechanical,Hyderabad,1
Qlik Developer,Gurgaon,1
Senior Business Development Manager (Sr. BDM),Bangalore,1
Senior Software Engineer - Managed Services,Bangalore,1
Managed Service Provider,Bangalore,1
Software Engineer - Managed Services,Bangalore,1
Managed Services,Bangalore,1
Senior Software Engineer,Bangalore,2
Senior SDET,Bangalore,1
Senior SDET - (Quality Engineering),Bangalore,1
Senior Quality Engineer,Bangalore,1
Senior SDET - Quality Engineering,Bangalore,1
IT Security Analyst,Bangalore,1
Deputy Manager - Partner Relationships,Delhi,1
Android Developer,Gurgaon,1
Software Development Engineer1 - iOS,Bangalore,1
React.js Developer 1,Bangalore,1
Principal Software Engineer - Analytics,Mumbai,1
Quality Assurance Team Lead,Bangalore,2
Backend Engineer,Work From Home,1
Anaplan Engineer ,Bangalore,1
Senior Engineer I ,Bangalore,1
Fullstack Engineer - Angular Java ,Bangalore,1
Technical Project Manager ,Bangalore,1
GCP Architect,Bangalore,1
Technical Project Manager,Gurgaon,1
Lead Full Stack Developer,Mumbai,1
Sr. Java Developer,Bangalore,1
Technical Architect,Bangalore,1
Senior BI / Reporting Engineer,Work From Home,1
Corporate Sales Manager ,Delhi,1
Data Engineer AC,Bangalore,1
Senior Backend Engineer,Bangalore,1
Senior Security Engineer,Bangalore,1
QA Lead,Bangalore,1
Interior Site Supervisor,Bangalore,1
Sr. Frontend Developer,Bangalore,1
Software Development Engineer,Hyderabad,1
Product Manager I,Bangalore,1
Software Development Engineer - 3,Bangalore,1
Market Intelligence - Trainee,Noida,1
Dotnet Developer,Bangalore,1
Dot NET + Angular Developer,Bangalore,1
Sr. Software Development Engineer Trainee,Hyderabad,1
Camel Integrator Developer,Mumbai,1
Senior Fullstack Developer - .NET (T500 - 7808),Bangalore,1
Engineer I,Bangalore,1
Consultant - Sr. Engineer I [T500 - 7871,Gurgaon,1
Analyst II [T500 - 6175,Gurgaon,1
Infrastructure Engineer,Gurgaon,1
Dotnet Developer,Hyderabad,2
Business Development,Mumbai,1
Junior Software Engineer,Mumbai,1
Senior Test Engineer - SW,Bangalore,1
Software Engineer,Pune,1
Android Developer,Delhi,1
Backend Developer,Work From Home,1
Senior iOS Engineer,Ahmedabad,1
Sr. Business Development Associate,Hyderabad,1
Architect - Backend,Bangalore,1
Principal Architect - Frontend,Bangalore,1
Principal Architect (Backend),Bangalore,1
Director of Engineering (Backend),Bangalore,1
Tech Lead (Frontend / Angular),Mumbai,1
Lead Frontend Engineer,Bangalore,1
Senior Frontend Developer,Bangalore,1
Social Media Intern,Work From Home,1
Android Developer,Work From Home,1
Digital Marketing Specialist,Gurgaon,1
React Developer - Java,Pune,1
Machine Learning Engineer,Chennai,1
VP Product Managemnet - Offline Commerce,Work From Home,1
Software Development Engineer Trainee,Work From Home,1
Software Development Engineer 3 - Backend,Noida,1
Software Development Engineer - II / III,Noida,1
DevOps Engineer - SDE2,Noida,1
Product Marketing Manager,Bangalore,1
Software Engineer - iOS Developer,Bangalore,1
Senior Engineering Manager,Bangalore,1
Performance Marketing,Gurgaon,1
Finance Executive,Mumbai,1
Technical Consultant,Bangalore,1
DevOps Architect,Bangalore,1
Full Stack Engineer ,Work From Home,1
Data Engineer - III,Bangalore,1
Python Developer,Hyderabad,1
Content Strategist,Mumbai,1
Head of Marketing,Mumbai,1
Full Stack Engineer - Python,Bangalore,1
Database Administration - MySQL,Bangalore,1
UI / UX Designer,Hyderabad,1
Data Scientist,Chennai,1
International Voice Process ,Bangalore,1
Data Engineer,Work From Home,1
React Native Developer,Work From Home,1
