company_id,name,estab_year,employees_count
816,Redington India,1993,1000
818,Refactor Academy,2022,30
819,Reflections Info Systems,1999,1000
820,Reliance Group,1973,1000
822,ResMed,1989,1000
823,Rezo.ai,2017,30
825,RingCentral,2003,1000
826,Ripplr,2019,125
828,Rocketlane,2020,30
830,Rupeek,2015,1000
832,SaaS Labs,2016,350
834,Sanas AI,2020,30
836,Scaler Academy,2019,125
837,Scope Retail Systems,2017,5
838,Sensibull,2017,30
840,ShopUp,2017,125
841,Siemens,1900,1000
843,Skydo,2022,5
845,SmartCoin,2016,125
847,Softura,1996,350
849,Solvei8,2023,125
851,Sourcy,2021,5
852,Speech2Text,2005,30
853,Sportsbuzz,2022,125
855,Sprinklr,2009,1000
857,SquadStack,2014,125
